Identificación del encuestado,Fecha de inicio,Fecha de fin,¿Conoce los nutrientes escenciales para que el cuerpo tenga un funcionamiento adecuado?,¿Cuál de los siguientes nutrientes concidera que consume más?,Considero que mi alimentación ___________ satisface mi actividad física diaria.,Considero que mi alimentación ___________ cubre los nutrientes escenciales,Entre semana ¿cuántas veces al dia come platillos preparados en casa?,Los fines de semana ¿cuántas veces al dia come platillos preparados en casa?,Huevo o lácteos,Café o té descafeinados,Café o té con cafeina,Refrescos o bebidas endulzadas,Refrescos bajos en calorias,Carne de res,Carne de pollo,Carne de cerdo,Pescados o mariscos,Nueces y semillas,Frutas,Verduras,Legumbres,Cereales o pastas,Dulces,Salchichas o carnes frias,Pan dulce,Suplementos alimenticios,Considera que llevar una alimentación saludable es:
4151162069,08/20/2015 15:57:05,08/20/2015 16:03:00,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,Más de 3 veces al dia,Más de 3 veces al dia,Regulamente consumo,Muy poco,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Raras veces,Raras veces,Regulamente consumo,Raras veces,"Cara, pero no consume mucho tiempo prepararla"
4150840645,08/20/2015 13:34:36,08/20/2015 13:37:04,"Sí, todos",Proteinas,Ocasionalmente,Generalmente,2 veces al dia,Más de 3 veces al dia,Regulamente consumo,Regulamente consumo,Muy poco,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Nada,Nada,Nada,Nada,"Barata, pero consume mucho tiempo prepararla"
4147329190,08/18/2015 21:32:49,08/18/2015 21:35:43,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Lo que más consumo,Lo que más consumo,Regulamente consumo,Nada,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Lo que más consumo,"Barata, pero consume mucho tiempo prepararla"
4147180553,08/18/2015 20:19:28,08/18/2015 20:22:16,"Sí, la mayoria",Proteinas,Ocasionalmente,Pocas veces,3 veces al dia,1 vez al dia,Regulamente consumo,Raras veces,Lo que más consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Nada,Raras veces,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4146933179,08/18/2015 18:27:45,08/18/2015 18:30:47,"Sí, todos",Proteinas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Lo que más consumo,Raras veces,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Raras veces,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4146573159,08/18/2015 15:46:39,08/18/2015 15:48:39,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,1 vez al dia,1 vez al dia,Regulamente consumo,Nada,Regulamente consumo,Raras veces,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Muy poco,Regulamente consumo,Cara y consume mucho tiempo prepararla
4146433481,08/18/2015 14:50:44,08/18/2015 14:53:16,"Sí, todos",Carbohidratos,Pocas veces,Ocasionalmente,1 vez al dia,1 vez al dia,Muy poco,Muy poco,Lo que más consumo,Muy poco,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4146314685,08/18/2015 14:01:30,08/18/2015 14:06:07,"Sí, la mayoria",Proteinas,Generalmente,Ocasionalmente,2 veces al dia,3 veces al dia,Regulamente consumo,Raras veces,Lo que más consumo,Raras veces,Raras veces,Regulamente consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Raras veces,Muy poco,Raras veces,Nada,Cara y consume mucho tiempo prepararla
4145540283,08/18/2015 04:20:20,08/18/2015 04:24:51,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,1 vez al dia,3 veces al dia,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Nada,Raras veces,Lo que más consumo,Raras veces,Regulamente consumo,Raras veces,Lo que más consumo,Muy poco,Muy poco,Raras veces,Muy poco,Raras veces,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4145517302,08/18/2015 03:59:37,08/18/2015 04:01:55,"Sí, todos",Carbohidratos,Generalmente,Generalmente,Más de 3 veces al dia,Más de 3 veces al dia,Lo que más consumo,Muy poco,Regulamente consumo,Raras veces,Muy poco,Muy poco,Lo que más consumo,Muy poco,Muy poco,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Lo que más consumo,Muy poco,Regulamente consumo,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
